Latitude: 32.2299  Longitude: -110.9403
X & Y on Lambert Conformal Conic: -998128.12 -1028390.35
Tile: 11015
Elevation: 748 meters
All years; all variables; Daymet Software Version 3.0; Daymet Data Version 3.0.
How to cite: Thornton; P.E.; M.M. Thornton; B.W. Mayer; Y. Wei; R. Devarakonda; R.S. Vose; and R.B. Cook. 2016. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 3. ORNL DAAC; Oak Ridge; Tennessee; USA. http://dx.doi.org/10.3334/ORNLDAAC/1328

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1986,164,50803,0.00,528.00,0.00,40.50,20.50,920.00
1986,165,50803,0.00,528.00,0.00,40.50,20.50,920.00
1986,166,50803,0.00,502.40,0.00,41.00,22.50,1040.00
1986,167,50803,0.00,467.20,0.00,39.50,23.00,1080.00
1986,168,50803,0.00,486.40,0.00,39.50,22.00,1000.00
1986,169,50803,0.00,486.40,0.00,40.00,22.50,1040.00
1986,170,50803,0.00,537.60,0.00,40.00,19.50,880.00
1986,171,50803,0.00,550.40,0.00,40.00,18.50,800.00
1986,172,50803,0.00,556.80,0.00,40.00,18.00,800.00
1986,173,50803,0.00,547.20,0.00,40.50,19.00,840.00
1986,174,50803,0.00,473.60,0.00,40.00,23.00,1080.00
1986,175,50803,0.00,435.20,0.00,39.00,24.00,1160.00
1986,176,50803,0.00,441.60,0.00,38.00,23.00,1080.00
1986,177,50803,0.00,470.40,0.00,39.50,23.00,1080.00
1986,178,50803,0.00,467.20,0.00,41.50,25.00,1240.00
1986,179,50803,0.00,403.20,0.00,40.50,27.00,1400.00
1986,180,50803,0.00,409.60,0.00,38.50,25.00,1240.00
1986,181,50803,0.00,416.00,0.00,37.00,23.50,1120.00
1986,182,50803,0.00,352.00,0.00,35.50,24.50,1200.00
1986,183,50803,0.00,409.60,0.00,36.00,23.00,1080.00
1986,184,50803,0.00,396.80,0.00,36.50,24.00,1160.00
1986,185,50458,4.00,304.00,0.00,33.50,21.00,960.00
1986,186,50458,0.00,428.80,0.00,35.00,21.50,1000.00
1986,187,50458,0.00,480.00,0.00,37.50,21.50,1000.00
1986,188,50458,0.00,460.80,0.00,37.50,22.50,1040.00
1986,189,50458,0.00,400.00,0.00,38.00,25.50,1280.00
1986,190,50458,0.00,451.20,0.00,38.00,23.50,1120.00
1986,191,50458,0.00,476.80,0.00,37.50,22.00,1000.00
1986,192,50458,0.00,457.60,0.00,37.50,23.00,1080.00
1986,193,50112,0.00,470.40,0.00,38.00,23.00,1080.00
1986,194,50112,0.00,428.80,0.00,37.50,24.50,1200.00
1986,195,50112,0.00,425.60,0.00,35.50,23.00,1080.00
1986,196,50112,9.00,313.60,0.00,33.00,21.00,960.00
1986,197,50112,5.00,307.20,0.00,32.00,20.50,920.00
1986,198,50112,3.00,329.60,0.00,32.50,20.00,880.00
1986,199,49766,0.00,416.00,0.00,33.00,21.50,1000.00
1986,200,49766,0.00,480.00,0.00,36.00,22.00,1000.00
1986,201,49766,0.00,454.40,0.00,38.00,25.00,1240.00
