,year,yday,prcp (mm/day),tmax (deg c),tmin (deg c),vp (Pa)
295,1980,296,0.0,25.0,4.5,720.0
296,1980,297,0.0,26.0,4.0,680.0
297,1980,298,0.0,26.5,3.5,680.0
298,1980,299,0.0,26.5,6.0,840.0
299,1980,300,0.0,23.5,8.0,1040.0
300,1980,301,0.0,21.0,5.0,840.0
301,1980,302,0.0,18.0,0.5,600.0
302,1980,303,0.0,17.5,3.0,760.0
303,1980,304,0.0,21.0,5.0,800.0
304,1980,305,0.0,25.0,6.0,800.0
305,1980,306,0.0,25.5,4.0,680.0
306,1980,307,0.0,26.5,3.0,640.0
307,1980,308,0.0,28.0,3.5,640.0
308,1980,309,0.0,29.0,5.0,720.0
309,1980,310,0.0,29.0,7.5,880.0
310,1980,311,0.0,30.0,7.0,840.0
311,1980,312,0.0,29.0,7.0,880.0
312,1980,313,0.0,28.5,6.0,800.0
313,1980,314,0.0,29.5,4.5,680.0
314,1980,315,0.0,27.5,8.0,840.0
315,1980,316,0.0,27.0,8.0,840.0
316,1980,317,0.0,26.0,7.0,800.0
317,1980,318,0.0,23.0,6.0,760.0
318,1980,319,0.0,20.5,2.5,560.0
319,1980,320,0.0,20.0,1.5,520.0
320,1980,321,0.0,14.5,2.0,640.0
321,1980,322,0.0,10.0,-1.5,520.0
322,1980,323,0.0,13.0,-1.0,520.0
323,1980,324,0.0,16.5,-0.5,480.0
324,1980,325,0.0,17.5,0.5,520.0
325,1980,326,0.0,15.5,4.5,800.0
326,1980,327,0.0,15.5,1.0,520.0
327,1980,328,0.0,19.5,-1.0,320.0
328,1980,329,0.0,18.0,1.5,400.0
329,1980,330,0.0,15.0,-2.5,280.0
330,1980,331,0.0,14.5,-2.0,320.0
331,1980,332,0.0,17.5,-4.0,240.0
332,1980,333,0.0,22.5,-1.0,240.0
333,1980,334,0.0,25.0,1.0,280.0
334,1980,335,0.0,23.5,2.0,320.0
335,1980,336,0.0,23.0,1.5,320.0
336,1980,337,0.0,24.0,1.5,320.0
337,1980,338,0.0,25.0,2.0,320.0
338,1980,339,0.0,24.5,2.0,320.0
339,1980,340,0.0,22.5,2.0,320.0
340,1980,341,1.0,19.0,4.5,440.0
341,1980,342,3.0,14.5,4.0,680.0
342,1980,343,0.0,13.0,-0.5,400.0
343,1980,344,0.0,13.0,-4.5,280.0
344,1980,345,0.0,15.0,-2.0,320.0
345,1980,346,0.0,17.5,0.0,320.0
346,1980,347,2.0,15.0,2.0,480.0
347,1980,348,4.0,17.0,6.0,840.0
348,1980,349,0.0,17.5,2.5,520.0
349,1980,350,0.0,20.0,0.5,360.0
350,1980,351,0.0,24.0,4.0,440.0
351,1980,352,0.0,25.0,4.0,440.0
352,1980,353,0.0,24.5,3.0,400.0
353,1980,354,0.0,22.5,2.5,440.0
354,1980,355,0.0,19.0,2.0,480.0
355,1980,356,0.0,18.5,1.5,440.0
356,1980,357,0.0,21.5,0.5,360.0
357,1980,358,0.0,21.5,1.5,400.0
358,1980,359,0.0,22.0,0.0,360.0
359,1980,360,0.0,23.5,1.0,360.0
360,1980,361,0.0,25.0,0.5,240.0
361,1980,362,0.0,26.0,2.5,240.0
362,1980,363,0.0,25.5,3.5,280.0
363,1980,364,0.0,23.0,3.5,280.0
364,1980,365,0.0,21.0,6.5,400.0
